hashtag,UserFriendFollowerRatiosMV_friendFollowerRatio_average,UserFriendFollowerRatiosMV_friendFollowerRatio_population_variance,UserFriendFollowerRatiosMV_friendFollowerRatio_population_standard_deviation,UserFriendFollowerRatiosMV_friendFollowerRatio_minValue,UserFriendFollowerRatiosMV_friendFollowerRatio_maxValue
AdamSchiff,0.6380318138404886,0.03935696433116711,0.1983858975108037,0.44885219492549333,0.9120477928974444
ChooseAFavoriteRussianDish,0.5049922442886147,0.03101872730460271,0.17612134255848355,0.17647058823529413,0.9796803802297949
EqualPayDay,0.636855946871442,0.03828048078065054,0.19565398227649378,0.347242206235012,0.9120477928974444
LosAngeles,0.537399538686054,0.020462037102976446,0.14304557701298018,0.17210682492581603,0.9120477928974444
Merkelmussbleiben,0.42271382059691703,0.05843398842835444,0.24173123180167358,0.05249841872232764,0.972972972972973
blackculture,0.5291639997064201,0.006749113100663294,0.08215298595098838,0.19055118110236222,0.6479166666666667
СУД,0.8539561612392063,0.025276490275801956,0.1589858178448693,0.16198501872659177,0.9989403973509934
УкраинскаяЛожь,0.6432352970771625,0.030607603303449967,0.1749502880919319,0.2616191904047976,0.9484984767155085
интересное,0.6022177140803474,0.10886847047336924,0.3299522245316271,0.11578044596912522,0.9983038785434706
CR4U,0.4994834518261195,0.0043235477621432145,0.06575369010286201,0.2753441802252816,0.6771653543307087
DirtyCongress,0.38475081555056495,0.03844613496686819,0.19607685984549067,0.18867395570507428,0.5808276753960556
FAV,0.7064843233894167,0.026300744381979057,0.16217504241398878,0.23519458544839256,0.9796803802297949
GoodReasonsToStartDating,0.5408115580411006,0.006525067656880153,0.08077789089150665,0.37613542526837324,0.7778378325258699
HillaryPickUpLines,0.550215864793642,0.00370781072683668,0.06089179523414201,0.37613542526837324,0.6764783749308045
Lavrov,0.5579095531781717,0.06772719831516609,0.26024449718517795,0.09479166666666666,1.0
Magdeburg,0.370824533716929,0.04871302232271063,0.22071026782347627,0.0936270653029111,0.6877403201287668
Mainz,0.24912689173457508,0.0,0.0,0.24912689173457508,0.24912689173457508
MyNewCatchPhraseIs,0.5368244076604346,0.002059545553223262,0.0453822162661021,0.43867192165293206,0.6764783749308045
SOTU,0.5592670075113203,0.025018304857778378,0.15817175745934664,0.17789598108747046,0.9120477928974444
TermLimits,0.4792774423220635,0.016001767167172477,0.1264980915554558,0.11678832116788321,0.9120477928974444
TrumpPence16,0.5159297218269572,0.014158692267402757,0.1189903032494781,0.2,0.9989403973509934
art,0.5400754984427081,0.02788541038833671,0.16698925231384418,0.0900562851782364,1.0
hope,0.37508760184919343,0.03970811915909403,0.19926896185581444,0.07514450867052024,1.0
oscarssowhite,0.5205776769200893,0.009461829009613858,0.09727193330870862,0.3333333333333333,0.7388971467933148
travel,0.5241675113778748,0.029740046081877886,0.17245302572549398,0.13980789754535752,1.0
ВозмездиеНеизбежно,0.4648501814558901,0.026039109016680977,0.16136638130875022,0.11985526910900045,0.8752478661953617
Волгоград,0.5000004271784643,0.05717545830917924,0.23911390237537264,0.11375291375291376,0.9848409128768949
МИР,0.6973577790793517,0.051418348546190686,0.22675614334829097,0.16198501872659177,0.9989403973509934
НациональныйПодъем,0.42676406335275247,0.026151539132369204,0.16171437515684622,0.20301142263759087,0.8237410071942446
вДобрыйПуть,0.5131510755083106,0.03341560337717887,0.18279935278107215,0.2727949385932266,0.9484984767155085
Americans,0.505315916891041,0.014335645978482194,0.11973155798903727,0.19055118110236222,0.9120477928974444
FergusonShooting,0.4953126392788113,0.012189080896369575,0.11040417064753294,0.20665083135391923,0.7778378325258699
GlobalWarmingHoax,0.4979625548149518,0.00611036560692109,0.0781688275908056,0.3235955056179775,0.6842105263157895
JusticeOrElse,0.5407874610233684,0.0061193394227523415,0.07822620675165287,0.2215591197314435,0.6924979389942292
President,0.5049773804587963,0.02784774534280182,0.16687643735051938,0.1540880503144654,0.926829268292683
Thanksgiving,0.5149693229865054,0.02068488247671136,0.14382239907855576,0.12121212121212122,0.9120477928974444
cartoon,0.5272353618423795,0.028829795640074058,0.16979339103767865,0.1540880503144654,0.916080637599625
rus,0.38610862210433955,0.025647799271372878,0.16014930306240135,0.10354857475276323,0.943000238492726
ИнтерполяцияЯроша,0.5550467838151245,0.04473836316621886,0.21151445143587438,0.2905285562256119,0.8661170003926187
музей,0.4196709331471441,0.05446446258156837,0.23337622539917893,0.1354515050167224,0.9907763769077638
школьное_питание_Петербург,0.4287172951574017,0.023718178099094274,0.15400707158794455,0.23608964451313755,0.8811881188118812
BlackHistory,0.5385548996784635,0.010239847937313121,0.10119213377191491,0.1048780487804878,0.7388971467933148
CPAC2017,0.5312453837160576,0.009275726591506816,0.09631057362256137,0.347242206235012,0.9120477928974444
CollegeCelebs,0.5424468001667584,0.001682843897892919,0.04102248039664251,0.48012291146533514,0.6460961898813242
FF1776,0.490502421391908,0.00272019053956184,0.052155445924292894,0.347242206235012,0.6035375323554789
GetWellSoonLouis,0.2323907217408153,0.027877074947529088,0.1669642924326309,0.0990990990990991,0.7692307692307693
Hastert,0.5023499237313767,0.006149728212438772,0.07842020283344574,0.3235955056179775,0.6842105263157895
NeverForget,0.4422994465631252,0.03371339694797638,0.1836120827940699,0.09479166666666666,0.9782102272727272
RejectedMothersDayGifts,0.5018758295671778,0.012571023058895904,0.11212057375386511,0.31665524331734063,0.7778378325258699
RejectedTVShowSpinoffs,0.5263262112481436,0.012780507924868695,0.11305090855392846,0.267515923566879,0.7778378325258699
TheOpenedBox,0.5287493803750467,0.0035924893249201406,0.05993737836208838,0.32278123233465233,0.6924979389942292
UniteBlue,0.5278800273240376,0.011347802973494896,0.10652606710798487,0.28514588859416445,1.0
blackskinisnotacrime,0.5425372224008825,0.0030644340403662416,0.055357330502529126,0.476931330472103,0.7104421322019059
maketvsexy,0.5273196720654486,0.0016245931436148066,0.04030624199320505,0.43867192165293206,0.6460961898813242
television,0.40343155404467634,0.024181025522570142,0.1555024936217106,0.08484848484848485,0.6737967914438503
vss,0.5325625347271157,0.0014446940296405717,0.03800913087194407,0.43867192165293206,0.6460961898813242
БерлускониВКрыму,0.38042279404506446,0.04336058578834263,0.2082320479377337,0.0,0.9803176795580111
СМИ,0.42341258049566444,0.042436245768204456,0.2060005965239044,0.10365853658536585,1.0
AllInWithBernie,0.9120477928974444,0.0,0.0,0.9120477928974444,0.9120477928974444
Bayern,0.4014761243618258,0.08803556074370811,0.2967078710511538,0.0605296343001261,0.972972972972973
LiberalLogic,0.5288818389855574,0.012767958462668495,0.11299539133375527,0.24857535861662408,0.9120477928974444
OscarForMuhammad,0.4843428644705689,0.010790210239517763,0.10387593676842469,0.1292517006802721,0.6902654867256637
revine,0.4577426530507367,0.0017708358113490668,0.042081300019712636,0.4178889847569744,0.5159450350012963
Оборона,0.6243167149932133,0.07505720496058609,0.27396570033598383,0.10354857475276323,0.9989403973509934
опрос,0.5683318653477171,0.05883109549305688,0.24255122241097216,0.12586805555555555,0.9709406066785623
рубль,0.40976223848410925,0.044791889326664405,0.21164094435308212,0.1087216248506571,0.9948880380089409
اسياد_الترند,0.0,0.0,0.0,0.0,0.0
BlueLivesMatter,0.521555640644433,0.01797084715042552,0.1340553883677397,0.15163398692810456,0.9523809523809523
Celebrities,0.4915559632345458,0.00920970996590995,0.09596723381399482,0.13013698630136986,0.6038863976083707
ChrisYoung,0.3943480175221588,0.0290555867716762,0.1704569939066045,0.08656716417910448,1.0
HateToBeRudeBut,0.5528055356609276,0.0023321470105099385,0.04829230798491555,0.48012291146533514,0.6671306955078439
IHaveABlackBeltIn,0.5557539454741126,0.005393672638215921,0.07344162742080217,0.43867192165293206,0.6922714420358153
IWasWinningUntil,0.5314986320440767,0.0026937014143018664,0.051900880669810086,0.45478069607969984,0.6764783749308045
MakeMeMadIn5Words,0.5736142380791054,0.0041305880185048575,0.06426965083540487,0.48012291146533514,0.6916055341824178
MemorialDay,0.5381138308334704,0.016549322309631846,0.1286441693573084,0.0,0.9120477928974444
MusingsFromBarbiesDiary,0.532674855983941,0.00247712300890432,0.04977070432397275,0.43867192165293206,0.6922714420358153
Russia,0.5462031557158287,0.04880261820553735,0.2209131462940523,0.04878048780487805,0.9989403973509934
SmileLouis,0.3889107387264814,0.015141876063519319,0.12305233058954762,0.20580474934036938,0.9152542372881356
TPP,0.5623714837340866,0.014240612024511195,0.1193340354823853,0.44885219492549333,1.0
TVLifeLessonsILearned,0.5313816879473309,0.0015511852752498013,0.039385089504148665,0.43867192165293206,0.6460961898813242
TeaParty,0.5052449126045304,0.009585112848292797,0.09790358955775215,0.0641025641025641,0.9120477928974444
WhatWomenLove,0.5035023534228885,0.007442822921485348,0.08627179679063922,0.32287822878228783,0.6181630546955624
hockey,0.5259385448048314,0.006722415558741523,0.08199033820360496,0.3333333333333333,0.7388971467933148
mixtape,0.5582311796238636,0.0031324712332821024,0.05596848428608821,0.4756198347107438,0.6924979389942292
sommerpläne2016,0.34565517823769015,0.019558526665954656,0.13985180251235468,0.16212534059945505,0.5436915887850468
