Request Id,Request Definition,CampaignId,Hashtag,SeedTweets,ExpandedTweets,HashtagTweets,UserCount,Organized,Other

201608181346192049ea0d5d6-4991-4215-bd2e-2f6e823b54f4,TrumpExplainsMoviePlots,TrumpExplainsMoviePlots,trumpexplainsmovieplots,2572,0,2869,818,null,

2016092620563144267eef15a-2276-422e-92b0-9284232b9234,WorldAlzheimersDay_2,WorldAlzheimersDay_2,worldalzheimersday,1432,0,2261,1155,null,

20160926223845497e5846908-21e4-4910-9984-364b2dcb1dbb,TheGoodPlace,TheGoodPlace,thegoodplace,890,0,1950,708,null,

2016092909504895966b04eef-5a22-4a6f-874e-37be85c29886,internationaldayofpeace_2,internationaldayofpeace_2,internationaldayofpeace,15363,0,19016,13431,null,

201609290952142070f426e7b-49ad-4be5-b10e-76510e5ebe56,Concord,Concord,concord,589,0,556,322,null,

2016092909523734183986587-5b08-4eb9-8e5d-7e8968c6c102,LadyGagaNewVideo,LadyGagaNewVideo,ladygaganewvideo,7877,311428,41513,5124,null,

20160818112832806a5ddd8a-cfcc-41f1-b81b-f0b5f9f08a42,WednesdayWisdom,WednesdayWisdom,wednesdaywisdom,10573,0,15638,9138,null,

2016081815503787469ef0f05-14cd-4a7b-bc3c-da7f6eb065ce,loserDonald3_Visual,loserDonald3,loserdonald,1310,0,4626,663,null,

20160818162207875bc5c3883-d82c-433d-b9d1-081852f1c256,WednesdayWisdom_20160818,WednesdayWisdom_20160818,wednesdaywisdom,12029,0,16926,10648,null,

2016082519471755559ef1447-adbf-4386-a8f0-5bb3b1a9bdd6,TravelTuesday,TravelTuesday,traveltuesday,3035,0,4894,2468,null,

201608261116244910522ea6f-3bdc-4ba2-9007-3d6d88eff91d,HillarysEmails1,HillarysEmails1,hillarysemails,37568,0,88165,13692,ORGANIZED,

201608290957434606d34baf6-133a-454c-8dd1-190620761158,FelizMartes,FelizMartes,felizmartes,5488,0,9959,4100,null,

201609051049046366bb44cb1-0224-4b66-bbc2-2b8b3a3822b4,mondaymotivation_2,mondaymotivation,mondaymotivation,18122,0,28433,15617,null,

201609061037312587500ac59-95cd-46b3-b07e-7b0f358aa0ae,LaborDay,LaborDay,laborday,52590,0,104274,41860,null,

2016092621381356622ead1a8-5623-494a-a6ca-d8d98b50bf17,TrumpACandy,TrumpACandy,trumpacandy,13915,0,20826,7503,null,

201609262239537230e485d3b-61d9-49a6-bc6b-23840e389760,TrumpAQuote,TrumpAQuote,trumpaquote,798,0,1728,646,null,

20160929095145112b8ffd518-b7e8-4b34-9210-b149d5b34e05,ThisIsUs,ThisIsUs,thisisus,1487,0,6676,1094,null,

201611300959595012cd5293b-9133-4245-a5b0-eeb9c52d798a,Maga Analysis in Boycott Hamilton,BoycottHamilton,maga,2573,563814,19262,856,ORGANIZED,POLITICAL	TRUMP	

20161201112758765507cc5b5-e09d-4ccf-83f6-55d932273707,FBIGeneral20161101,FBIGeneral20161101,fbi,19298,6365840,43982,13846,ORGANIZED,POLITICAL	

20161202192230831035dd1f1-6940-4b33-8db8-09ac092d1971,stoptrump,stoptrump,stoptrump,1245,282999,2911,839,null,POLITICAL	HILLARY	HILLARY	

20161202194914039e148235-738b-4e7f-9154-a79d8327334b,Recount20161130,Recount20161130,recount2016,111906,12964980,150897,22440,null,POLITICAL	

20161202194937603af97ffb5-5c88-4167-a1df-c388fbfd7eed,auditthevote,Recount20161130,auditthevote,39306,3830752,95868,5184,ORGANIZED,POLITICAL	

2016120219495885cbe83aed-84a5-4916-84b2-ffca4856c5fd,maga,Recount20161130,maga,21117,1993129,165354,2644,ORGANIZED,POLITICAL	TRUMP	

201612021950116243f945872-d978-4a39-8d11-812ebaa9de6e,jillstein,Recount20161130,jillstein,30187,2778030,17021,3858,null,POLITICAL	

20161202195038972c804b69a-10dc-443f-bdc5-279fb7499cff,imwithher,Recount20161130,imwithher,12542,947893,7345,939,ORGANIZED,POLITICAL	HILLARY	HILLARY	

20161202195115600c7b8ee35-4336-473c-8ce1-d1a4357db42e,notmypresident,Recount20161130,notmypresident,9056,704616,38239,1138,ORGANIZED,POLITICAL	HILLARY	HILLARY	

20161202195134366d7d56af8-d12e-4621-a54f-cbd761b6cf28,lockherup,Recount20161130,lockherup,5393,458498,11096,558,ORGANIZED,POLITICAL	TRUMP	

20161208200525485d60185f5-11b7-4852-b817-cc564de71a45,mydreampresidentis,MyDreamPresidentIs,mydreampresidentis,1047,345177,1281,914,null,POLITICAL	

201612082006581992c40c9f3-6815-42fd-a3ae-8585429c2df6,NewsRelated,NewsRelated,news,32949,2425145,191856,6020,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

2016120820092018a8a4eb02-10e1-44c2-819c-93e7deb1c27a,clintonemails,AllHillaryEmailTags_20161101,clintonemails,4575,1639227,4948,3310,ORGANIZED,POLITICAL	TRUMP	

201612082013346441d9e0fd0-60b5-4daf-8ce0-72c592b05a49,PodestaEmails20161031,PodestaEmails20161031,podestaemails20,9110,1430915,10299,3913,ORGANIZED,POLITICAL	TRUMP	

20161208201358086a86cde5-294e-46e3-a9b3-695719448713,podestaemails15,podestaemails15,podestaemails15,5301,1254721,9169,3311,ORGANIZED,POLITICAL	TRUMP	

20161208201417557e2873e51-663b-46fc-903f-8bbdbf24609b,podestaemails14,podestaemails14,podestaemails14,9157,1310738,8944,4515,ORGANIZED,POLITICAL	TRUMP	

201612082014378253c48a9a9-4f67-4953-8744-7c57bf6f5c7b,podestaemails,podestaemails,podestaemails,11912,1660477,15074,6923,ORGANIZED,POLITICAL	TRUMP	

20161213090854334b283d9d1-a93f-4d08-9ae2-b92afc1b05f4,RecountMI,MichiganRecount,recountmi,6709,823473,3239,1056,null,POLITICAL	

20161213090931476722972ee-a10c-4633-959c-98b580250861,VoterFraud,MichiganRecount,voterfraud,4146,971719,2085,1264,null,POLITICAL	

20161213090945111fd692e9b-8d29-4c90-ac13-b2ad519d0464,RecountPA,MichiganRecount,recountpa,6334,764270,1927,1005,null,POLITICAL	

201612130911368008466e5e4-b986-4c38-b022-4572f6802b98,thepeoplespresident,Trump20161128,thepeoplespresident,2957,508217,1007,1143,null,POLITICAL	

20161213091205162df3f049c-a821-4362-a96e-d842939b25fe,trumpwon,Trump20161128,trumpwon,16059,1196263,4091,2151,ORGANIZED,POLITICAL	

20161213092457159f9b7beaa-fb4e-45e9-8b23-651180c4d4c5,TEAMTRUMP,TrumpSupportersElectionWeek,teamtrump,5824,933695,2601,1431,null,POLITICAL	TRUMP	

2016121310162970226272239-6332-49a1-8420-07a3905b7c1b,PardonSnowden,PardonSnowden,pardonsnowden,1357,591805,1593,1183,null,IRRELEVANT	

201612131027524416a84017a-92f5-40b6-a650-3c85b5943ad9,DedicateYourVoteToAWoman,HillarySupportersElectionDay,dedicateyourvotetoawoman,673,217965,475,443,null,

2016121310281875738b29070-0fbb-418f-b703-86da86dac8e0,hillarybecause,HillarySupportersElectionDay,hillarybecause,2166,605714,1267,831,ORGANIZED,POLITICAL	HILLARY	HILLARY	

2016121310382563472e20600-f7e9-43f5-9d57-602eef76cd7a,PostVotingStressRelief,Voting,postvotingstressrelief,4012,865171,2404,1982,null,POLITICAL	IRRELEVANT	

2016121310485134875b06d0b-56c0-4999-b0f5-5579458b9c87,TRUMP2016,TrumpSupporters_20161110,trump2016,4115,905433,21229,1858,null,POLITICAL	TRUMP	

20161213105003095bb3f429-1b80-4f6e-a3c7-6905c2c0cd58,TrumpPence16,TrumpSupporters_20161110,trumppence16,5904,1239806,45290,1995,ORGANIZED,POLITICAL	TRUMP	

20161213105302150d169d025-c5de-4620-8d9e-2f4afef585f8,trumpmovement,trumpmovement,trumpmovement,404,162955,555,301,null,

201612131053283338e4ec035-e005-4099-9c88-3e388f553c3f,obamacarefail,trumpmovement,obamacarefail,4287,1447413,5005,3612,ORGANIZED,POLITICAL	TRUMP	

20161213105824497e685440e-4aba-44c9-801e-1312178d0654,benghazi,benghazi,benghazi,4449,1500023,4752,3612,ORGANIZED,POLITICAL	TRUMP	

20170129225429209c115fdd7-ad82-4e5e-8770-76ead28aa5d4,DrainTheSwamp,TrumpSupporters_20161110,draintheswamp,7726,1683453,37163,2464,ORGANIZED,POLITICAL	TRUMP	

201701300911267596d5b314b-c9a6-42cc-a15c-02252f929296,makeamericagreatagain,TrumpSupporters_20161110,makeamericagreatagain,22647,4128571,44835,10713,ORGANIZED,POLITICAL	TRUMP	

201701300912078196d755782-be0d-4ecb-9492-4204e4258406,crookedhillary,TrumpSupporters_20161110,crookedhillary,18999,3773531,34190,8159,ORGANIZED,POLITICAL	TRUMP	

201701300913447324cb68eb6-ec69-4072-91b8-693699181e62,electionfinalthoughts,Voting,electionfinalthoughts,30746,2616966,47052,11122,null,POLITICAL	IRRELEVANT	

20170130233950567e7c6f7d4-132f-4fe1-8e90-5918852bcf3c,imvotingbecause,Voting,imvotingbecause,18585,2086805,23085,6155,ORGANIZED,POLITICAL	IRRELEVANT	

201701302340206229894208f-117c-436b-871c-5c36b41ea81d,voted,Voting,voted,16597,2082066,13347,6126,ORGANIZED,POLITICAL	IRRELEVANT	

201701302340412310fbf6a15-c887-4811-a177-06d9eaef103a,ivoted,Voting,ivoted,24557,2405172,17067,9389,null,POLITICAL	IRRELEVANT	

201701302341234096113034-7fe9-4a72-9615-4a805f7be857,americafirst,HillarySupportersElectionDay,americafirst,11834,3051519,18107,5505,ORGANIZED,POLITICAL	TRUMP	

201701302341526433f7cf979-8a7d-4a4a-9637-0dd409654527,strongertogether,HillarySupportersElectionDay,strongertogether,15723,2193595,16396,4752,ORGANIZED,POLITICAL	HILLARY	HILLARY	

20170131161720265a2d8d274-1d42-4086-8127-0cc0a526a495,imwithher,HillarySupportersElectionDay,imwithher,35362,4411703,75681,15792,ORGANIZED,POLITICAL	HILLARY	HILLARY	

201701311618163238af0b865-675c-49bc-823f-caf6cd56d00a,boycotthamilton,BoycottHamilton,boycotthamilton,18552,2162450,29695,10111,ORGANIZED,POLITICAL	TRUMP	

